square,mask,magic,index_bits
0,18049651735527936,9232484806409881632,6
1,70506452091904,6053708721010245760,5
2,275415828992,4612117240660099328,5
3,1075975168,1243558646167634032,5
4,38021120,9589941497495556,5
5,8657588224,1319482681264128,5
6,2216338399232,2325555081761554688,5
7,567382630219776,432363585983741952,6
8,9024825867763712,4508014930821136,5
9,18049651735527424,4506322670452736,5
10,70506452221952,162134227399221504,5
11,275449643008,4611695370718675328,5
12,9733406720,648837239140385800,5
13,2216342585344,9029198211448864,5
14,567382630203392,4639627093561835522,5
15,1134765260406784,9225625082343327888,5
16,4512412933816832,34497101890,5
17,9024825867633664,1152921581933104148,5
18,18049651768822272,4611756421539758080,7
19,70515108615168,4299456512,7
20,2491752130560,9223394031919235104,7
21,567383701868544,74450234555564036,7
22,1134765256220672,288230377259401344,5
23,2269530512441344,144225142528278544,5
24,2256206450263040,9511672782291206160,5
25,4512412900526080,1152941304607473668,5
26,9024834391117824,585485578255204352,7
27,18051867805491712,2035706196475774992,9
28,637888545440768,4755801481382756368,9
29,1135039602493440,8796364081668,7
30,2269529440784384,2305843558974226468,5
31,4539058881568768,16181435185579966464,5
32,1128098963916800,288278789029625985,5
33,2256197927833600,306262658939125760,5
34,4514594912477184,72295091259572224,7
35,9592139778506752,36611572545650688,9
36,19184279556981248,27039465096904704,9
37,2339762086609920,366137917571080,7
38,4538784537380864,589976020368031760,5
39,9077569074761728,9367564466176163844,5
40,562958610993152,17665481508865,5
41,1125917221986304,90636797993828656,5
42,2814792987328512,2254291165577216,7
43,5629586008178688,1153238181957599232,7
44,11259172008099840,867787513331712000,7
45,22518341868716544,6953558932772093952,7
46,9007336962655232,17665271861288,5
47,18014673925310464,45153024770050,5
48,2216338399232,621501150990172208,5
49,4432676798464,2478215299072,5
50,11064376819712,242068489646391360,5
51,22137335185408,2341871823417245696,5
52,44272556441600,4688264804414135334,5
53,87995357200384,9224497954784591874,5
54,35253226045952,105656783225216,5
55,70506452091904,4419794255872,5
56,567382630219776,9008943020247044,6
57,1134765260406784,90071993654841473,5
58,2832480465846272,4629876785508614657,5
59,5667157807464448,306244783251235116,5
60,11333774449049600,3377699995259360,5
61,22526811443298304,344561140518433800,5
62,9024825867763712,282626095090688,5
63,18049651735527936,9223407229884186672,6
