,start,move
0,1,0
1,2,0
2,4,0
3,8,0
4,16,0
5,32,0
6,64,0
7,128,0
8,256,2
9,512,5
10,1024,10
11,2048,20
12,4096,40
13,8192,80
14,16384,160
15,32768,64
16,65536,512
17,131072,1280
18,262144,2560
19,524288,5120
20,1048576,10240
21,2097152,20480
22,4194304,40960
23,8388608,16384
24,16777216,131072
25,33554432,327680
26,67108864,655360
27,134217728,1310720
28,268435456,2621440
29,536870912,5242880
30,1073741824,10485760
31,2147483648,4194304
32,4294967296,33554432
33,8589934592,83886080
34,17179869184,167772160
35,34359738368,335544320
36,68719476736,671088640
37,137438953472,1342177280
38,274877906944,2684354560
39,549755813888,1073741824
40,1099511627776,8589934592
41,2199023255552,21474836480
42,4398046511104,42949672960
43,8796093022208,85899345920
44,17592186044416,171798691840
45,35184372088832,343597383680
46,70368744177664,687194767360
47,140737488355328,274877906944
48,281474976710656,2199023255552
49,562949953421312,5497558138880
50,1125899906842624,10995116277760
51,2251799813685248,21990232555520
52,4503599627370496,43980465111040
53,9007199254740992,87960930222080
54,18014398509481984,175921860444160
55,36028797018963968,70368744177664
56,72057594037927936,0
57,144115188075855872,0
58,288230376151711744,0
59,576460752303423488,0
60,1152921504606846976,0
61,2305843009213693952,0
62,4611686018427387904,0
63,9223372036854775808,0
