,start,move
0,1,0
1,2,0
2,4,0
3,8,0
4,16,0
5,32,0
6,64,0
7,128,0
8,256,1
9,512,2
10,1024,4
11,2048,8
12,4096,16
13,8192,32
14,16384,64
15,32768,128
16,65536,256
17,131072,512
18,262144,1024
19,524288,2048
20,1048576,4096
21,2097152,8192
22,4194304,16384
23,8388608,32768
24,16777216,65536
25,33554432,131072
26,67108864,262144
27,134217728,524288
28,268435456,1048576
29,536870912,2097152
30,1073741824,4194304
31,2147483648,8388608
32,4294967296,16777216
33,8589934592,33554432
34,17179869184,67108864
35,34359738368,134217728
36,68719476736,268435456
37,137438953472,536870912
38,274877906944,1073741824
39,549755813888,2147483648
40,1099511627776,4294967296
41,2199023255552,8589934592
42,4398046511104,17179869184
43,8796093022208,34359738368
44,17592186044416,68719476736
45,35184372088832,137438953472
46,70368744177664,274877906944
47,140737488355328,549755813888
48,281474976710656,1103806595072
49,562949953421312,2207613190144
50,1125899906842624,4415226380288
51,2251799813685248,8830452760576
52,4503599627370496,17660905521152
53,9007199254740992,35321811042304
54,18014398509481984,70643622084608
55,36028797018963968,141287244169216
56,72057594037927936,0
57,144115188075855872,0
58,288230376151711744,0
59,576460752303423488,0
60,1152921504606846976,0
61,2305843009213693952,0
62,4611686018427387904,0
63,9223372036854775808,0
