,start,move
0,1,770
1,2,1797
2,4,3594
3,8,7188
4,16,14376
5,32,28752
6,64,57504
7,128,49216
8,256,197123
9,512,460039
10,1024,920078
11,2048,1840156
12,4096,3680312
13,8192,7360624
14,16384,14721248
15,32768,12599488
16,65536,50463488
17,131072,117769984
18,262144,235539968
19,524288,471079936
20,1048576,942159872
21,2097152,1884319744
22,4194304,3768639488
23,8388608,3225468928
24,16777216,12918652928
25,33554432,30149115904
26,67108864,60298231808
27,134217728,120596463616
28,268435456,241192927232
29,536870912,482385854464
30,1073741824,964771708928
31,2147483648,825720045568
32,4294967296,3307175149568
33,8589934592,7718173671424
34,17179869184,15436347342848
35,34359738368,30872694685696
36,68719476736,61745389371392
37,137438953472,123490778742784
38,274877906944,246981557485568
39,549755813888,211384331665408
40,1099511627776,846636838289408
41,2199023255552,1975852459884544
42,4398046511104,3951704919769088
43,8796093022208,7903409839538176
44,17592186044416,15806819679076352
45,35184372088832,31613639358152704
46,70368744177664,63227278716305408
47,140737488355328,54114388906344448
48,281474976710656,216739030602088448
49,562949953421312,505818229730443264
50,1125899906842624,1011636459460886528
51,2251799813685248,2023272918921773056
52,4503599627370496,4046545837843546112
53,9007199254740992,8093091675687092224
54,18014398509481984,16186183351374184448
55,36028797018963968,13853283560024178688
56,72057594037927936,144959613005987840
57,144115188075855872,362258295026614272
58,288230376151711744,724516590053228544
59,576460752303423488,1449033180106457088
60,1152921504606846976,2898066360212914176
61,2305843009213693952,5796132720425828352
62,4611686018427387904,11592265440851656704
63,9223372036854775808,4665729213955833856
