,start,move
0,1,132096
1,2,329728
2,4,659712
3,8,1319424
4,16,2638848
5,32,5277696
6,64,10489856
7,128,4202496
8,256,33816580
9,512,84410376
10,1024,168886289
11,2048,337772578
12,4096,675545156
13,8192,1351090312
14,16384,2685403152
15,32768,1075839008
16,65536,8657044482
17,131072,21609056261
18,262144,43234889994
19,524288,86469779988
20,1048576,172939559976
21,2097152,345879119952
22,4194304,687463207072
23,8388608,275414786112
24,16777216,2216203387392
25,33554432,5531918402816
26,67108864,11068131838464
27,134217728,22136263676928
28,268435456,44272527353856
29,536870912,88545054707712
30,1073741824,175990581010432
31,2147483648,70506185244672
32,4294967296,567348067172352
33,8589934592,1416171111120896
34,17179869184,2833441750646784
35,34359738368,5666883501293568
36,68719476736,11333767002587136
37,137438953472,22667534005174272
38,274877906944,45053588738670592
39,549755813888,18049583422636032
40,1099511627776,145241105196122112
41,2199023255552,362539804446949376
42,4398046511104,725361088165576704
43,8796093022208,1450722176331153408
44,17592186044416,2901444352662306816
45,35184372088832,5802888705324613632
46,70368744177664,11533718717099671552
47,140737488355328,4620693356194824192
48,281474976710656,288234782788157440
49,562949953421312,576469569871282176
50,1125899906842624,1224997833292120064
51,2251799813685248,2449995666584240128
52,4503599627370496,4899991333168480256
53,9007199254740992,9799982666336960512
54,18014398509481984,1152939783987658752
55,36028797018963968,2305878468463689728
56,72057594037927936,1128098930098176
57,144115188075855872,2257297371824128
58,288230376151711744,4796069720358912
59,576460752303423488,9592139440717824
60,1152921504606846976,19184278881435648
61,2305843009213693952,38368557762871296
62,4611686018427387904,4679521487814656
63,9223372036854775808,9077567998918656
