square,mask,magic,index_bits
0,72340172838076927,155374212914356224,15
1,144680345676153599,2018176683063904256,15
2,289360691352306943,4621819255189406208,15
3,578721382704613631,9369739061519991040,15
4,1157442765409227007,4756927110744967168,15
5,2314885530818453759,9313444590970216704,15
6,4629771061636907263,288230960402622500,15
7,9259542123273814271,153122524904947844,15
8,72340172838141697,598134594471168,15
9,144680345676218114,9070974083072,15
10,289360691352370948,2751464474624,15
11,578721382704676616,9009402573787136,15
12,1157442765409287952,6599217775872,15
13,2314885530818510624,432370870241984528,15
14,4629771061636955968,10962913824155393040,15
15,9259542123273846656,2305996941128106112,15
16,72340172854722817,17867106313216,15
17,144680345692733954,6599217324032,15
18,289360691368756228,17626914883648,15
19,578721382720800776,333336749759545472,15
20,1157442765424889872,1100189008896,15
21,2314885530833068064,9223373145228574864,15
22,4629771061649424448,36171733531930788,15
23,9259542123282137216,17725657160,15
24,72340177099489537,7512149324860502016,15
25,144680349920788994,9223392936568293504,15
26,289360695563387908,18142009040896,15
27,578721386848585736,550997393664,15
28,1157442769418981392,20341636204736,15
29,2314885534559772704,35459317269760,15
30,4629771064841355328,11529215183574548608,15
31,9259542125404520576,10376293627763626288,15
32,72341263759769857,2475117527040,15
33,144681432302879234,4535754047488,15
34,289361769389097988,9223398631359383680,15
35,578722443561535496,8864812900608,15
36,1157443791906410512,309354228206272624,15
37,2314886488596160544,4398190166080,15
38,4629771881975660608,1152922604254920960,15
39,9259542668734660736,576460855919771720,15
40,72619448791531777,158329725059328,15
41,144958522117980674,6597606658560,15
42,289636668770878468,1279840124739584,15
43,578992962076674056,13871233362359916544,15
44,1157705548688265232,140738071365632,15
45,2315130721911447584,4611695020687262720,15
46,4629981068357812288,34381013120,15
47,9259681761250541696,4611686035615680576,15
48,143834816922583297,9268991600000763392,15
49,215893514783949314,36312073896448,15
50,360010910506681348,110338900614513152,15
51,648245701952145416,9601674701915555360,15
52,1224715284843073552,4899953812341068288,15
53,2377654450624929824,108097524702691344,15
54,4683532782188642368,8110985127926190248,15
55,9295289445316067456,17456695552,15
56,18374969058471772417,17613934045762,15
57,18375251637271921154,17870558070786,15
58,18375816794872218628,824650764930,15
59,18376947110072813576,282042182406210,15
60,18379207740474003472,2668127694134456322,15
61,18383729001276383264,1588363465381380146,15
62,18392771522881142848,1413052645388,15
63,18410856566090662016,10808640893201485845,15
