,start,move
0,256,131072
1,512,327680
2,1024,655360
3,2048,1310720
4,4096,2621440
5,8192,5242880
6,16384,10485760
7,32768,4194304
8,65536,33554432
9,131072,83886080
10,262144,167772160
11,524288,335544320
12,1048576,671088640
13,2097152,1342177280
14,4194304,2684354560
15,8388608,1073741824
16,16777216,8589934592
17,33554432,21474836480
18,67108864,42949672960
19,134217728,85899345920
20,268435456,171798691840
21,536870912,343597383680
22,1073741824,687194767360
23,2147483648,274877906944
24,4294967296,2199023255552
25,8589934592,5497558138880
26,17179869184,10995116277760
27,34359738368,21990232555520
28,68719476736,43980465111040
29,137438953472,87960930222080
30,274877906944,175921860444160
31,549755813888,70368744177664
32,1099511627776,562949953421312
33,2199023255552,1407374883553280
34,4398046511104,2814749767106560
35,8796093022208,5629499534213120
36,17592186044416,11258999068426240
37,35184372088832,22517998136852480
38,70368744177664,45035996273704960
39,140737488355328,18014398509481984
40,281474976710656,144115188075855872
41,562949953421312,360287970189639680
42,1125899906842624,720575940379279360
43,2251799813685248,1441151880758558720
44,4503599627370496,2882303761517117440
45,9007199254740992,5764607523034234880
46,18014398509481984,11529215046068469760
47,36028797018963968,4611686018427387904
